codigo_analise,cod_frota,descricao_veiculo,placa,modelo,cod_compartimento,compartimento,km_retirada,data_coleta,status,resultado,data_resultado,ordem_servico,agendamento
5208,60102,AUTOMOVEL VW SAVEIRO CS RB MF SYR-5F23,SYR-5F23,VW SAVEIRO CS RB MF,200,CARTER MOTOR,318118,2026-04-29,1,NORMAL,2026-04-30,0,0
5207,62279,TRATOR JOHN DEERE 7M230,AAA-9999,JOHN DEERE 7M230,200,CARTER MOTOR,1725,2026-04-29,1,NORMAL,2026-04-30,0,0
5206,62515,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,10168,2026-04-29,1,NORMAL,2026-04-30,0,0
5205,62212,TRATOR VALTRA A950,AAA-9999,VALTRA A950,200,CARTER MOTOR,8997,2026-04-29,1,NORMAL,2026-04-30,0,0
5204,60906,CAMINHAO VOLVO VM 270 QXX-5B99,QXX-5B99,VOLVO VM 270 - HORIMETRO,200,CARTER MOTOR,4788,2026-04-29,1,NORMAL,2026-04-30,0,0
5203,62200,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,170,2026-04-29,1,NORMAL,2026-04-30,0,0
5202,62228,TRATOR JOHN DEERE 7230J,AAA-9999,JOHN DEERE 7230J,200,CARTER MOTOR,22258,2026-04-29,1,NORMAL,2026-04-30,0,0
5201,62246,TRATOR JOHN DEERE 7230J,AAA-9999,JOHN DEERE 7230J,200,CARTER MOTOR,122854,2026-04-29,1,NORMAL,2026-04-30,0,0
5200,60111,AUTOMOVEL RENAULT OROCH INTENSE TFT-8J82,TFT-8J82,RENAULT OROCH INTENSE,200,CARTER MOTOR,54400,2026-04-29,1,NORMAL,2026-04-30,0,0
5199,62525,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,372,2026-04-29,1,NORMAL,2026-04-30,0,0
5198,62266,TRATOR JOHN DEERE 7M230,AAA-9999,JOHN DEERE 7M230,200,CARTER MOTOR,6139,2026-04-29,1,NORMAL,2026-04-30,0,0
5197,60818,CAMINHAO VW 15190 GDF-9G83,GDF-9G83,VW 15190 - HORIMETRO,200,CARTER MOTOR,236431,2026-04-29,1,NORMAL,2026-04-30,0,0
5196,64202,MOTONIVELADORA JOHN DEERE 620P,AAA-9999,JOHN DEERE 620P,200,CARTER MOTOR,7911,2026-04-29,1,NORMAL,2026-04-30,0,0
5195,62517,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,12404,2026-04-29,1,NORMAL,2026-04-30,0,0
5194,60510,CAMINHAO VOLVO FMX 540 QXR-8J92,QXR-8J92,VOLVO FMX 540,200,CARTER MOTOR,412138,2026-04-29,1,NORMAL,2026-04-30,0,0
5193,62510,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,15715,2026-04-29,1,NORMAL,2026-04-30,0,0
5192,62242,TRATOR JOHN DEERE 7230J,AAA-9999,JOHN DEERE 7230J,200,CARTER MOTOR,25428,2026-04-29,1,VISCOSIDADE FORA,2026-04-30,0,0
5191,60804,CAMINHAO VW 9170 QXX-3J83,QXX-3J83,VW 9170,200,CARTER MOTOR,325961,2026-04-29,1,SÍLICA,2026-04-30,0,0
5190,62232,TRATOR JOHN DEERE 7230J,AAA-9999,JOHN DEERE 7230J,200,CARTER MOTOR,1956,2026-04-29,1,NORMAL,2026-04-30,0,0
5189,61251,CAMINHAO VOLVO VM 330 QXH-9D56,QXH-9D56,VOLVO VM 330,200,CARTER MOTOR,342558,2026-04-29,1,NORMAL,2026-04-30,0,0
5188,60532,CAMINHAO VOLVO FH 540 SHC-6H48,SHC-6H48,VOLVO FH 540,200,CARTER MOTOR,294695,2026-04-28,1,NORMAL,2026-04-29,0,0
5187,60817,CAMINHAO VW 15190 PCG-8H55,PCG-8H55,VW 15190 - HORIMETRO,200,CARTER MOTOR,198122,2026-04-28,1,NORMAL,2026-04-29,0,0
5186,60800,CAMINHAO VOLVO VM 270 QXA-7193,QXA-7193,VOLVO VM 270,200,CARTER MOTOR,542399,2026-04-28,1,NORMAL,2026-04-29,0,0
5185,62281,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,1343,2026-04-28,1,NORMAL,2026-04-29,0,0
5184,62280,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,1210,2026-04-28,1,CRITICO,2026-04-29,0,0
5183,62259,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,8147,2026-04-28,1,NORMAL,2026-04-29,0,0
5182,62250,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,12542,2026-04-28,1,CRITICO,2026-04-29,0,0
5181,62001,CARREGADEIRA VALTRA BM100,AAA-9999,VALTRA BM100,200,CARTER MOTOR,237,2026-04-28,1,CRITICO,2026-04-29,0,0
5180,62258,TRATOR JOHN DEERE 5090E,AAA-9999,JOHN DEERE 5090E,200,CARTER MOTOR,4538,2026-04-27,1,NORMAL,2026-04-28,0,0
5179,60275,MOTOCICLETA YAMAHA CROSSER Z TEE-8C25,TEE-8C25,YAMAHA CROSSER Z,200,CARTER MOTOR,60282,2026-04-27,1,NORMAL,2026-04-28,0,0
5178,60106,AUTOMOVEL VW SAVEIRO CD RB MF PVR-7B50,PVR-7B50,VW SAVEIRO CD RB MF,200,CARTER MOTOR,203836,2026-04-27,1,NORMAL,2026-04-28,0,0
5177,62278,TRATOR JOHN DEERE 7M230,AAA-9999,JOHN DEERE 7M230,200,CARTER MOTOR,1298,2026-04-27,1,NORMAL,2026-04-28,0,0
5176,60552,CAMINHAO VOLVO FM 540 SCG-5I38,SCG-5I38,VOLVO FM 540,200,CARTER MOTOR,268018,2026-04-27,1,LEVES LIMALHA,2026-04-28,0,0
5175,60093,AUTOMOVEL FIAT STRADA ENDURANCE SHK-1E11,SHK-1E11,FIAT STRADA ENDURANCE,202,CAIXA CAMBIO,306662,2026-04-27,1,VISCOSIDADE FORA,2026-04-28,0,0
5174,62222,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,13810,2026-04-27,1,NORMAL,2026-04-28,0,0
5173,60912,CAMINHAO VOLVO VM 270 SHJ-5F28,SHJ-5F28,VOLVO VM 270 - HORIMETRO,200,CARTER MOTOR,9282,2026-04-27,1,NORMAL,2026-04-28,0,0
5172,60543,CAMINHAO VOLVO FM 540 SYK-4C71,SYK-4C71,VOLVO FM 540,200,CARTER MOTOR,254352,2026-04-27,1,NORMAL,2026-04-28,0,0
5171,62276,TRATOR JOHN DEERE 7M230,AAA-9999,JOHN DEERE 7M230,200,CARTER MOTOR,1305,2026-04-27,1,NORMAL,2026-04-28,0,0
5170,60107,AUTOMOVEL VW SAVEIRO CS RB MF QXW-9B26,QXW-9B26,VW SAVEIRO CS RB MF,200,CARTER MOTOR,122186,2026-04-27,1,NORMAL,2026-04-28,0,0
5169,60093,AUTOMOVEL FIAT STRADA ENDURANCE SHK-1E11,SHK-1E11,FIAT STRADA ENDURANCE,200,CARTER MOTOR,306662,2026-04-27,1,NORMAL,2026-04-28,0,0
5168,60076,AUTOMOVEL FIAT STRADA ENDURANCE RUY-7I91,RUY-7I91,FIAT STRADA ENDURANCE,200,CARTER MOTOR,288203,2026-04-27,1,NORMAL,2026-04-28,0,0
5167,60274,MOTOCICLETA YAMAHA CROSSER Z TEE-8C22,TEE-8C22,YAMAHA CROSSER Z,200,CARTER MOTOR,38200,2026-04-27,1,NORMAL,2026-04-28,0,0
5166,60078,AUTOMOVEL FIAT STRADA FREEDOM RVD-5C08,RVD-5C08,FIAT STRADA FREEDOM,200,CARTER MOTOR,159807,2026-04-27,1,NORMAL,2026-04-28,0,0
5165,60502,CAMINHAO VOLVO FMX 540 QUO-2D67,QUO-2D67,VOLVO FMX 540,200,CARTER MOTOR,315686,2026-04-27,1,NORMAL,2026-04-28,0,0
5164,60534,CAMINHAO VOLVO FM 540 SHC-9H41,SHC-9H41,VOLVO FM 540,200,CARTER MOTOR,291394,2026-04-24,1,VISCOSIDADE FORA,2026-04-28,0,0
5163,62269,TRATOR JOHN DEERE 5090E,AAA-9999,JOHN DEERE 5090E,200,CARTER MOTOR,4039,2026-04-27,1,VISCOSIDADE FORA,2026-04-28,0,0
5162,62270,TRATOR JOHN DEERE 5090E,AAA-9999,JOHN DEERE 5090E,200,CARTER MOTOR,3542,2026-04-27,1,NORMAL,2026-04-28,0,0
5161,60268,MOTOCICLETA YAMAHA XTZ 150Z HIV-9I15,HIV-9I15,YAMAHA XTZ CROSSER 150Z,200,CARTER MOTOR,115809,2026-04-27,1,NORMAL,2026-04-28,0,0
5160,60057,AUTOMOVEL FIAT STRADA FREEDOM TCF-4G86,TCF-4G86,FIAT STRADA FREEDOM,200,CARTER MOTOR,179195,2026-04-27,1,NORMAL,2026-04-28,0,0
5159,62204,TRATOR JOHN DEERE 7230J,AAA-9999,JOHN DEERE 7230J,200,CARTER MOTOR,22659,2026-04-27,1,NORMAL,2026-04-28,0,0
5158,60254,MOTOCICLETA HONDA NXR 160 BROS PQZ-1B13,PQZ-1B13,HONDA NXR 160 BROS,200,CARTER MOTOR,4526,2026-04-27,1,NORMAL,2026-04-28,0,0
5157,62225,TRATOR JOHN DEERE 5090E,AAA-9999,JOHN DEERE 5090E,200,CARTER MOTOR,4365,2026-04-25,1,NORMAL,2026-04-25,0,0
5156,60523,CAMINHAO VOLVO FH 540 SHC-4F24,SHC-4F24,VOLVO FH 540,200,CARTER MOTOR,326645,2026-04-25,1,NORMAL,2026-04-25,0,0
5155,60917,CAMINHAO VOLVO VM 270 RCE-9F89,RCE-9F89,VOLVO VM 270 - HORIMETRO,200,CARTER MOTOR,11118,2026-04-25,1,NORMAL,2026-04-25,0,0
5154,64000,PA CARREGADEIRA JOHN DEERE 624K,AAA-9999,JOHN DEERE 624K,200,CARTER MOTOR,10213,2026-04-24,1,NORMAL,2026-04-25,0,0
5153,62507,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,16840,2026-04-24,1,NORMAL,2026-04-25,0,0
5152,62527,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,253,2026-04-24,1,NORMAL,2026-04-25,0,0
5151,62203,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,12933,2026-04-24,1,CRITICO,2026-04-25,0,0
5150,62280,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,1163,2026-04-24,1,CRITICO,2026-04-25,0,0
5149,62528,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,236,2026-04-24,1,NORMAL,2026-04-25,0,0
5148,62282,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,832,2026-04-24,1,NORMAL,2026-04-25,0,0
5147,62513,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,9983,2026-04-24,1,NORMAL,2026-04-25,0,0
5146,62211,TRATOR VALTRA A950,AAA-9999,VALTRA A950,200,CARTER MOTOR,8457,2026-04-24,1,VISCOSIDADE FORA,2026-04-25,0,0
5145,62220,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,14244,2026-04-24,1,NORMAL,2026-04-25,0,0
5144,62503,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,16244,2026-04-24,1,NORMAL,2026-04-25,0,0
5143,62253,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,11820,2026-04-24,1,SÍLICA,2026-04-25,0,0
5142,60549,CAMINHAO VOLVO FM 540 SCA-8G02,SCA-8G02,VOLVO FM 540,200,CARTER MOTOR,389930,2026-04-24,1,NORMAL,2026-04-25,0,0
5141,62250,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,12491,2026-04-24,1,NORMAL,2026-04-25,0,0
5140,62529,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,230,2026-04-24,1,NORMAL,2026-04-25,0,0
5139,62215,TRATOR JOHN DEERE 6190J,AAA-9999,JOHN DEERE 6190J,200,CARTER MOTOR,10927,2026-04-24,1,NORMAL,2026-04-25,0,0
5138,62526,COLHEDORA JOHN DEERE CH570,AAA-9999,JOHN DEERE CH570,200,CARTER MOTOR,283,2026-04-24,1,NORMAL,2026-04-25,0,0
