"cod_frota","descricao_especialidade","descricao_especialidade_agrup","descricao_frota","status"
"36700","REBOQUE - CANAVIEIRO","REBOQUE","SEMI REBOQUE RANDON SR CP 0228 AAA-9999","Ativo"
"36701","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE RANDON RQ CP HI 0435 AAA-9999","Ativo"
"36702","REBOQUE - CANAVIEIRO","REBOQUE","SEMI REBOQUE RANDON SR CP 0228 AAA-9999","Ativo"
"36703","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE RANDON RQ CP HI 0435 AAA-9999","Ativo"
"36704","REBOQUE - CANAVIEIRO","REBOQUE","SEMI REBOQUE RANDON SR CP 0228 AAA-9999","Ativo"
"36705","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE RANDON RQ CP HI 0435 AAA-9999","Ativo"
"36706","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE RANDON RQ CP HI 0435 AAA-9999","Ativo"
"36707","REBOQUE - CANAVIEIRO","REBOQUE","SEMI REBOQUE RANDON SR CP 0228 AAA-9999","Ativo"
"36708","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE MGS MNJ-6587","Ativo"
"36709","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE MGS MNJ-6757","Ativo"
"36710","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE MGS  MNU-1346","Ativo"
"36711","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE GOYDO MOD-7727","Ativo"
"36712","REBOQUE - CANAVIEIRO","REBOQUE","REBOQUE GOYDO MOD-7697","Ativo"
"46000","VEICULO - TAXI","VEICULO","AUTOMOVEL GM SPIN QQB-9J93","Ativo"
"46001","UTILITARIO - TRANSPORTE","UTILITARIO","VEICULOS PREFEITURA MINAS GERAIS","Ativo"
"46002","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL VW NIVUS HL TSI SDJ-1E53","Ativo"
"46004","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL FIAT UNO MILLE ETM-8C11","Ativo"
"46005","MAQUINA PESADA - MOTONIVELADORA","MAQUINA PESADA","VEICULOS PEREIRA E CIA","Ativo"
"46006","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL COROLLA XEI SCB-1D82","Ativo"
"46007","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL VW POLO TRACK MA GTN-9J63","Ativo"
"46008","VEICULO - COLABORADORES / PARCEIROS","VEICULO","MOTOCICLETA HONDA NXR 150 BROS OPV-3C88","Ativo"
"46010","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL HONDA CIVIC EXL CVT OWW-5J45","Ativo"
"46011","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL GM S10 LTZ QMS-8080","Ativo"
"46012","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL VW GOL L MC4 REP-7H01","Ativo"
"46015","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL VW SAVEIRO CS RB MF SYZ-8C49","Ativo"
"46016","UTILITARIO - TRANSPORTE","UTILITARIO","VIATURA POLICIA CAPINOPOLIS","Ativo"
"46018","UTILITARIO - TRANSPORTE","UTILITARIO","VIATURA POLICIA ITUIUTABA","Ativo"
"46019","VEICULO - ASSISTENCIA","VEICULO","CAMINHONETE HILUX CD STD FSZ-0H00","Ativo"
"46020","VEICULO - COLABORADORES / PARCEIROS","VEICULO","CAMINHONETE VW PP MBVE PBP-2C62","Ativo"
"46021","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL FIAT STRADA FREEDOM RNZ-0E28","Ativo"
"46022","VEICULO - ASSISTENCIA","VEICULO","CAMINHONETE FORD F1000 GPR-1I24","Ativo"
"46023","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL VW GOL L MB5 RCJ-0B46","Ativo"
"46028","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL FORD RANGER LTDC SCU-9E00","Ativo"
"46029","MOTOCICLETA - QUADRICICLO","MOTOCICLETA","QUADRICICLO POLARIS RANGER 570","Ativo"
"46032","VEICULO - COLABORADORES / PARCEIROS","VEICULO","AUTOMOVEL WV NIVUS HL TSI FZC-II9I","Ativo"
"46035","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL GM CORSA HATCH NFF-1072","Ativo"
"46037","VEICULO - ASSISTENCIA","VEICULO","AUTOMOVEL VW GOL L MB5 RCD-3A67","Ativo"
